رقم التكليف,المقر,تاريخ القياس,نظام القياس ,المحول,اتجاه السكينة,قدرةالسكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,شمالي,400,15,18,23,9,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,شرقي,400,5,18,13,10,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,غربي,400,30,20,10,23,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,جنوبي,400,10,3,20,14,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية,شمالي اضافية,630,65,56,37,45,425,426,425,237,236,237
3165,الوسطى,06/08/2023,صيفي,ابراج الكلية 2,شرقي,400,35,23,37,0,415,412,416,239,241,237
3172,الوسطى,05/08/2023,صيفي,ابراج الهدى,شرقي,400,5,5,6,2,400,399,400,230,230,228
3172,الوسطى,05/08/2023,صيفي,ابراج الهدى,غربي,250,9,18,17,7,400,399,400,230,230,228
3156,الوسطى,02/08/2023,صيفي,ابو العوف,شمالي,630,50,15,40,0,385,390,387,220,222,223
3156,الوسطى,02/08/2023,صيفي,ابو العوف,شرقي,630,60,145,140,90,385,390,387,220,222,223
3156,الوسطى,02/08/2023,صيفي,ابو العوف,جنوبي,630,30,40,122,90,385,390,387,220,222,223
3016,الوسطى,03/07/2023,صيفي,ابو جميزة,شمالي,400,2,0,0,0,384,380,386,221,223,218
3016,الوسطى,03/07/2023,صيفي,ابو جميزة,غربي,630,84,72,84,12,384,380,386,221,223,218
3016,الوسطى,03/07/2023,صيفي,ابو جميزة,جنوبي,630,153,85,125,65,384,380,386,221,223,218
3153,الوسطى,03/08/2023,صيفي,ابو حسني,1,400,75,100,95,25,385,385,380,220,224,220
3153,الوسطى,03/08/2023,صيفي,ابو حسني,2,400,70,105,80,40,385,385,380,220,224,220
3153,الوسطى,03/08/2023,صيفي,ابو حسني,3,400,65,70,45,20,385,385,380,220,224,220
3153,الوسطى,03/08/2023,صيفي,ابو حسني,4,400,20,30,40,15,385,385,380,220,224,220
3179,الوسطى,08/08/2023,صيفي,ابو سلطان سكان,شرقي,630,72,75,80,29,400,400,401,230,230,230
3179,الوسطى,08/08/2023,صيفي,ابو سلطان سكان,غربي,630,75,74,35,35,400,400,401,230,230,230
3179,الوسطى,08/08/2023,صيفي,ابو سلطان سكان,جنوبي,630,20,15,10,10,400,400,401,230,230,230
3139,الوسطى,31/07/2023,صيفي,ابو سليم,شمالي,630,70,109,107,0,385,384,380,222,220,220
3139,الوسطى,31/07/2023,صيفي,ابو سليم,شرقي,630,74,82,114,40,385,384,380,222,220,220
3139,الوسطى,31/07/2023,صيفي,ابو سليم,غربي,630,62,22,114,0,385,384,380,222,220,220
